weekday,velocity_mean_weekday,velocity_std_weekday
0,14.2868528181242,894.1783900466967
1,15.996845701924324,2727.6349543797023
2,14.339853196694962,519.504818195444
3,14.28094607901878,504.66976241524895
4,12.733705441772862,50.916114470430834
5,18.64733136833705,71.8920812391063
6,21.62572182944209,81.76622008111278
