iter	Passed	Remaining
306	886	2001
307	889	1997
308	892	1994
309	895	1992
310	897	1989
311	900	1986
312	903	1982
313	906	1979
314	909	1976
315	911	1974
316	914	1971
317	917	1967
318	920	1964
319	922	1960
320	925	1958
321	928	1955
322	931	1952
323	934	1949
324	937	1946
325	940	1944
326	943	1940
327	945	1937
328	948	1934
329	951	1931
330	954	1928
331	956	1925
332	959	1922
333	962	1919
334	965	1916
335	967	1912
336	970	1909
337	973	1906
338	976	1903
339	979	1900
340	982	1897
341	984	1894
342	987	1891
343	990	1888
344	993	1885
345	996	1883
346	999	1880
347	1001	1877
348	1004	1874
349	1007	1871
350	1010	1867
351	1013	1864
352	1015	1861
353	1018	1858
354	1021	1855
355	1024	1852
356	1027	1850
357	1030	1847
358	1032	1844
359	1035	1841
360	1038	1838
361	1041	1835
362	1044	1832
363	1047	1829
364	1049	1826
365	1052	1823
366	1055	1820
367	1059	1818
368	1062	1816
369	1065	1814
370	1068	1811
371	1070	1807
372	1074	1805
373	1077	1802
374	1079	1799
375	1082	1796
376	1085	1793
377	1088	1790
378	1091	1787
379	1094	1784
380	1096	1781
381	1099	1778
382	1102	1775
383	1105	1772
384	1108	1770
385	1110	1766
386	1113	1763
387	1116	1761
388	1119	1758
389	1122	1755
390	1125	1752
391	1128	1749
392	1130	1746
393	1133	1743
394	1136	1741
395	1139	1738
396	1142	1735
397	1144	1731
398	1147	1729
399	1150	1726
400	1153	1723
401	1156	1720
402	1159	1717
403	1161	1714
404	1164	1711
405	1167	1708
406	1170	1705
407	1172	1701
408	1175	1699
409	1178	1696
410	1181	1693
411	1184	1690
412	1187	1687
413	1190	1685
414	1193	1682
415	1196	1679
416	1198	1675
417	1201	1672
418	1204	1669
419	1206	1666
420	1209	1663
421	1212	1661
422	1215	1658
423	1218	1655
424	1221	1652
425	1224	1649
426	1226	1646
427	1229	1643
428	1232	1640
429	1235	1637
430	1237	1634
431	1240	1631
432	1243	1628
433	1246	1625
434	1248	1621
435	1251	1618
436	1254	1616
437	1257	1613
438	1260	1610
439	1262	1607
440	1265	1604
441	1268	1601
442	1271	1598
443	1274	1595
444	1277	1592
445	1279	1589
446	1283	1587
447	1285	1584
448	1288	1581
449	1291	1577
450	1293	1574
451	1296	1571
452	1299	1569
453	1302	1566
454	1305	1563
455	1308	1560
456	1311	1557
457	1314	1555
458	1317	1552
459	1319	1549
460	1322	1546
461	1325	1543
462	1328	1540
463	1331	1537
464	1333	1534
465	1336	1531
466	1339	1528
467	1342	1526
468	1346	1524
469	1350	1522
470	1353	1520
471	1357	1518
472	1360	1515
473	1363	1512
474	1366	1510
475	1369	1507
476	1371	1504
477	1374	1501
478	1377	1498
479	1380	1495
480	1383	1492
481	1386	1490
482	1389	1487
483	1392	1484
484	1395	1481
485	1398	1478
486	1400	1475
487	1403	1472
488	1406	1469
489	1409	1467
490	1412	1464
491	1415	1461
492	1417	1458
493	1420	1455
494	1423	1452
495	1426	1449
496	1429	1446
497	1431	1443
498	1434	1440
499	1437	1437
500	1440	1434
501	1443	1431
502	1446	1429
503	1449	1426
504	1451	1423
505	1455	1420
506	1457	1417
507	1460	1414
508	1463	1412
509	1466	1409
510	1469	1406
511	1472	1403
512	1475	1400
513	1478	1397
514	1481	1394
515	1484	1392
516	1487	1389
517	1489	1386
518	1492	1383
519	1495	1380
520	1498	1377
521	1501	1374
522	1503	1371
523	1506	1368
524	1509	1365
525	1512	1362
526	1514	1359
527	1517	1356
528	1520	1353
529	1523	1350
530	1526	1348
531	1529	1345
532	1532	1342
533	1535	1339
534	1538	1336
535	1540	1333
536	1543	1331
537	1546	1328
538	1549	1325
539	1552	1322
540	1555	1319
541	1558	1316
542	1561	1313
543	1563	1310
544	1566	1307
545	1569	1304
546	1571	1301
547	1575	1299
548	1578	1296
549	1580	1293
550	1583	1290
551	1586	1287
552	1589	1284
553	1592	1281
554	1595	1279
555	1598	1276
556	1600	1273
557	1603	1270
558	1606	1267
559	1608	1264
560	1611	1261
561	1614	1258
562	1617	1255
563	1619	1252
564	1622	1249
565	1625	1246
566	1628	1243
567	1631	1240
568	1634	1238
569	1637	1235
570	1640	1232
571	1643	1229
572	1646	1226
573	1649	1224
574	1652	1221
575	1655	1218
576	1657	1215
577	1660	1212
578	1663	1209
579	1665	1206
580	1668	1203
581	1671	1200
582	1673	1197
583	1676	1194
584	1679	1191
585	1682	1188
586	1685	1185
587	1688	1182
588	1690	1179
589	1694	1177
590	1696	1174
591	1699	1171
592	1702	1168
593	1705	1165
594	1707	1162
595	1710	1159
596	1714	1157
597	1716	1154
598	1719	1151
599	1722	1148
600	1725	1145
601	1727	1142
602	1730	1139
603	1733	1136
604	1735	1133
605	1738	1130
606	1741	1127
607	1744	1124
608	1747	1121
609	1749	1118
610	1752	1115
611	1755	1112
612	1758	1109
613	1760	1107
614	1763	1104
615	1766	1101
616	1769	1098
617	1772	1095
618	1775	1092
619	1777	1089
620	1780	1086
621	1783	1083
622	1786	1081
623	1789	1078
624	1791	1075
625	1794	1072
626	1797	1069
627	1800	1066
628	1803	1063
629	1805	1060
630	1808	1057
631	1811	1054
632	1814	1051
633	1817	1049
634	1819	1046
635	1822	1043
636	1825	1040
637	1828	1037
638	1831	1034
639	1834	1031
640	1837	1029
641	1840	1026
642	1843	1023
643	1845	1020
644	1848	1017
645	1851	1014
646	1853	1011
647	1856	1008
648	1859	1005
649	1862	1002
650	1865	999
651	1867	997
652	1870	994
653	1873	991
654	1876	988
655	1879	985
656	1881	982
657	1884	979
658	1887	976
659	1890	973
660	1893	970
661	1895	967
662	1898	964
663	1900	961
664	1904	959
665	1907	956
666	1910	953
667	1913	951
668	1916	948
669	1920	945
670	1923	942
671	1926	940
672	1929	937
673	1931	934
674	1934	931
675	1938	928
676	1941	926
677	1944	923
678	1947	920
679	1950	917
680	1953	915
681	1956	912
682	1959	909
683	1962	906
684	1965	904
685	1968	901
686	1972	898
687	1975	895
688	1978	893
689	1981	890
690	1984	887
691	1987	884
692	1990	881
693	1993	879
694	1997	876
695	2000	873
696	2003	870
697	2006	868
698	2009	865
699	2012	862
700	2015	859
701	2019	857
702	2022	854
703	2025	851
704	2028	848
705	2031	846
706	2035	843
707	2038	840
708	2041	838
709	2044	835
710	2047	832
711	2050	829
712	2054	826
713	2057	824
714	2060	821
715	2063	818
716	2067	815
717	2069	812
718	2072	810
719	2076	807
720	2079	804
721	2082	801
722	2085	799
723	2088	796
724	2091	793
725	2094	790
726	2097	787
727	2100	784
728	2103	781
729	2106	779
730	2109	776
731	2112	773
732	2115	770
733	2118	767
734	2122	765
735	2125	762
736	2128	759
737	2131	756
738	2135	754
739	2138	751
740	2141	748
741	2144	745
742	2147	742
743	2150	739
744	2152	736
745	2155	733
746	2158	731
747	2161	728
748	2164	725
749	2167	722
750	2170	719
751	2173	716
752	2177	714
753	2180	711
754	2182	708
755	2185	705
756	2188	702
757	2192	699
758	2195	697
759	2198	694
760	2200	691
761	2204	688
762	2206	685
763	2209	682
764	2212	679
765	2215	676
766	2218	673
767	2221	671
768	2224	668
769	2227	665
770	2229	662
771	2232	659
772	2235	656
773	2238	653
774	2241	650
775	2243	647
776	2246	644
777	2249	641
778	2252	639
779	2255	636
780	2258	633
781	2261	630
782	2265	627
783	2268	624
784	2271	622
785	2273	619
786	2277	616
787	2280	613
788	2282	610
789	2285	607
790	2288	604
791	2291	601
792	2294	598
793	2297	596
794	2300	593
795	2302	590
796	2305	587
797	2308	584
798	2311	581
799	2314	578
800	2316	575
801	2320	572
802	2323	570
803	2326	567
804	2329	564
805	2331	561
806	2334	558
807	2337	555
808	2339	552
809	2342	549
810	2344	546
811	2347	543
812	2350	540
813	2353	537
814	2355	534
815	2358	531
816	2361	528
817	2364	525
818	2367	523
819	2369	520
820	2372	517
821	2375	514
822	2378	511
823	2381	508
824	2384	505
825	2387	502
826	2389	499
827	2392	497
828	2395	494
829	2398	491
830	2401	488
831	2404	485
832	2407	482
833	2410	479
834	2413	476
835	2415	473
836	2419	471
837	2421	468
838	2424	465
839	2427	462
840	2430	459
841	2433	456
842	2436	453
843	2438	450
844	2442	447
845	2444	445
846	2447	442
847	2450	439
848	2453	436
849	2456	433
850	2459	430
851	2462	427
852	2465	424
853	2468	421
854	2471	419
855	2474	416
856	2477	413
857	2480	410
858	2483	407
859	2486	404
860	2489	401
861	2492	398
862	2495	396
863	2498	393
864	2501	390
865	2504	387
866	2506	384
867	2509	381
868	2512	378
869	2515	375
870	2518	372
871	2521	370
872	2523	367
873	2526	364
874	2529	361
875	2532	358
876	2535	355
877	2538	352
878	2541	349
879	2544	346
880	2547	344
881	2550	341
882	2553	338
883	2555	335
884	2558	332
885	2561	329
886	2564	326
887	2567	323
888	2570	320
889	2573	318
890	2578	315
891	2580	312
892	2583	309
893	2586	306
894	2589	303
895	2592	300
896	2595	298
897	2598	295
898	2600	292
899	2603	289
900	2606	286
901	2609	283
902	2612	280
903	2614	277
904	2617	274
905	2620	271
906	2623	268
907	2626	266
908	2629	263
909	2631	260
910	2634	257
911	2637	254
912	2640	251
913	2643	248
914	2645	245
915	2648	242
916	2651	240
917	2654	237
918	2657	234
919	2660	231
920	2663	228
921	2666	225
922	2669	222
923	2672	219
924	2675	216
925	2677	213
926	2680	211
927	2683	208
928	2686	205
929	2689	202
930	2692	199
931	2695	196
932	2697	193
933	2700	190
934	2703	187
935	2706	185
936	2708	182
937	2711	179
938	2714	176
939	2717	173
940	2720	170
941	2722	167
942	2726	164
943	2728	161
944	2731	158
945	2734	156
946	2737	153
947	2740	150
948	2742	147
949	2745	144
950	2748	141
951	2751	138
952	2754	135
953	2757	132
954	2760	130
955	2763	127
956	2765	124
957	2768	121
958	2771	118
959	2774	115
960	2777	112
961	2779	109
962	2782	106
963	2785	104
964	2788	101
965	2791	98
966	2793	95
967	2796	92
968	2799	89
969	2802	86
970	2805	83
971	2808	80
972	2811	78
973	2814	75
974	2816	72
975	2819	69
976	2822	66
977	2825	63
978	2828	60
979	2831	57
980	2834	54
981	2837	52
982	2839	49
983	2842	46
984	2846	43
985	2849	40
986	2851	37
987	2854	34
988	2857	31
989	2860	28
990	2863	26
991	2865	23
992	2868	20
993	2871	17
994	2874	14
995	2877	11
996	2880	8
997	2883	5
998	2886	2
999	2889	0
